Расчет пени
 День;Сумма;Пени
01.12.14;207,20;0,05
02.12.14;207,20;0,05
03.12.14;207,20;0,05
04.12.14;207,20;0,05
05.12.14;207,20;0,05
06.12.14;207,20;0,05
07.12.14;207,20;0,05
08.12.14;207,20;0,05
09.12.14;207,20;0,05
10.12.14;207,20;0,05
11.12.14;207,20;0,05
12.12.14;310,80;0,08
13.12.14;310,80;0,08
14.12.14;310,80;0,08
15.12.14;310,80;0,08
16.12.14;310,80;0,08
17.12.14;310,80;0,08
18.12.14;310,80;0,08
19.12.14;310,80;0,08
20.12.14;310,80;0,08
21.12.14;310,80;0,08
22.12.14;310,80;0,08
23.12.14;310,80;0,08
24.12.14;310,80;0,08
25.12.14;310,80;0,08
26.12.14;310,80;0,08
27.12.14;310,80;0,08
28.12.14;310,80;0,08
29.12.14;310,80;0,08
30.12.14;310,80;0,08
31.12.14;310,80;0,08
;Итого;2,15
